Date,Stock,Buy,Sell,PnL,Reason
2023-05-08,ABB.NS,3593.990234375,3749.02490234375,3100.693359375,RSI_OVERBOUGHT
2023-05-09,ALKEM.NS,3296.579880934495,3520.24853515625,11630.770019531254,TARGET_HIT
2023-05-10,ABBOTINDIA.NS,21498.856305803572,20511.171875,-6913.791015625007,TRAILING_STOP
2023-05-10,ABB.NS,3753.412353515625,3761.693603515625,157.34375,RSI_OVERBOUGHT
2023-05-11,ABB.NS,3761.693603515625,3806.06005859375,842.962646484375,RSI_OVERBOUGHT
2023-05-12,ALKEM.NS,3507.716796875,3316.65478515625,-6687.17041015625,TRAILING_STOP
2023-05-12,ABB.NS,3806.06005859375,3887.003173828125,1537.919189453125,RSI_OVERBOUGHT
2023-05-17,APARINDS.NS,2542.9462890625,2728.913330078125,5393.044189453125,TARGET_HIT
2023-05-18,APLAPOLLO.NS,1185.6366459773137,1103.023193359375,-8591.799072265627,BEAR_ZONE
2023-05-30,AIAENG.NS,2748.0797906691027,2933.59765625,11502.107666015629,TARGET_HIT
2023-05-31,ABB.NS,3867.5213234641337,4067.770263671875,8810.953369140616,RSI_OVERBOUGHT
2023-06-09,AIAENG.NS,2969.405106707317,3181.8193359375,8708.983398437507,TARGET_HIT
2023-06-09,APARINDS.NS,2677.398628566576,2965.793701171875,13266.173339843754,TARGET_HIT
2023-06-15,AMBUJACEM.NS,458.83831787109375,452.6658325195313,-1006.1151123046782,BEAR_ZONE
2023-06-16,ABBOTINDIA.NS,20418.819196428572,21777.359375,9509.781249999993,TARGET_HIT
2023-06-16,AIAENG.NS,3264.5150981702304,3432.361083984375,6378.147460937494,RSI_OVERBOUGHT
2023-06-19,AMBUJACEM.NS,455.1842041015625,447.2340393066406,-1303.8270263671875,BEAR_ZONE
2023-06-26,APARINDS.NS,3044.578076171875,3274.54931640625,9198.849609374993,TARGET_HIT
2023-06-28,AIAENG.NS,3364.715908203125,3218.295166015625,-7321.037109374993,TRAILING_STOP
2023-06-30,ADANIPORTS.NS,744.615234375,727.63623046875,-1697.900390625,BEAR_ZONE
2023-07-11,ABB.NS,4126.431831173781,4435.859375,12686.529296874993,TARGET_HIT
2023-07-17,ALKEM.NS,3279.4386690579927,3530.513427734375,13055.88745117188,TARGET_HIT
2023-07-18,AIAENG.NS,3222.458017025354,3449.044189453125,12009.067138671868,TARGET_HIT
2023-07-20,APARINDS.NS,3378.42964441636,3640.326171875,13356.722900390632,TARGET_HIT
2023-07-20,ABB.NS,4403.6055591724535,4144.76904296875,-6988.585937499994,TRAILING_STOP
2023-07-25,ALKEM.NS,3600.9072265625,3843.857666015625,4859.0087890625,TARGET_HIT
2023-07-28,ABBOTINDIA.NS,21917.53292410714,23391.58984375,10318.398437500011,TARGET_HIT
2023-07-28,APLAPOLLO.NS,1410.1912841796875,1522.8739013671875,5972.1787109375,TARGET_HIT
2023-07-31,ABB.NS,4206.388604525862,4488.65478515625,8185.719238281243,TARGET_HIT
2023-08-01,APOLLOHOSP.NS,5149.68361497962,4990.8134765625,-3654.013183593759,TRAILING_STOP
2023-08-09,APARINDS.NS,3667.3532077955165,3930.923583984375,12124.237304687493,TARGET_HIT
2023-08-11,APOLLOTYRE.NS,411.99358746863356,384.5338439941406,-8292.842529296868,TRAILING_STOP
2023-08-18,ABBOTINDIA.NS,23134.806640625,22749.583984375,-2696.55859375,TRAILING_STOP
2023-08-18,ADANIPORTS.NS,772.098518371582,828.299072265625,8992.088623046875,TARGET_HIT
2023-08-18,ADANIPOWER.NS,55.79393400470824,60.91999816894531,11477.257663726803,TARGET_HIT
2023-08-21,ADANIPOWER.NS,60.91999816894531,64.97000122070312,4985.553756713867,TARGET_HIT
2023-08-21,APARINDS.NS,4804.5498046875,4911.90087890625,1610.26611328125,RSI_OVERBOUGHT
2023-08-22,ADANIPOWER.NS,64.97000122070312,69.4800033569336,5204.542465209961,TARGET_HIT
2023-08-23,PAGEIND.NS,38870.6953125,38444.640625,-426.0546875,BEAR_ZONE
2023-08-25,AMBUJACEM.NS,450.0389404296875,431.7116088867188,-3042.337036132803,BEAR_ZONE
2023-08-31,ADANIPORTS.NS,825.8166294642857,784.9964599609375,-8572.235595703125,TRAILING_STOP
2023-09-08,AIAENG.NS,3446.823067801339,3675.35107421875,11197.872314453129,TARGET_HIT
2023-09-11,ADANIPORTS.NS,784.9964599609375,874.4258422851562,8495.791320800781,TARGET_HIT
2023-09-13,ABB.NS,4410.894132915296,4285.37255859375,-4769.819824218741,TRAILING_STOP
2023-09-22,ALKEM.NS,3624.222380942487,3462.862060546875,-7583.935058593754,TRAILING_STOP
2023-09-25,AIAENG.NS,3603.399658203125,3351.501708984375,-5037.958984375,TRAILING_STOP
2023-09-29,ABB.NS,4187.5822164601295,4045.639892578125,-4116.327392578131,TRAILING_STOP
2023-09-29,ADANIENT.NS,2473.056640625,2411.760986328125,-1838.86962890625,BEAR_ZONE
2023-10-09,ADANIPOWER.NS,75.34254975588041,68.4000015258789,-16113.654441833496,TRAILING_STOP
2023-10-12,ABBOTINDIA.NS,22781.584542410714,21687.142578125,-7661.093749999996,TRAILING_STOP
