Date,Open,High,Low,Close,Volume,DMA_20,DMA_50,DMA_100,DMA_200,RSI_14,MACD,MACD_signal,Volume_Change_Pct,Bollinger_Upper,Bollinger_Middle,Bollinger_Lower,52W_High,52W_Low,Distance_to_52W_High,Distance_to_52W_Low
2024-03-06,1482.477391937893,1497.9131926576536,1467.6372798835923,1491.957275390625,7805676,1465.2103149414063,1393.6862036132814,1287.2254174804686,1241.2758862304688,63.799180597227185,25.995462768062907,28.30132295271752,9.820492459692831,1498.8600917962947,1465.2103149414063,1431.560538086518,1496.3250732421875,1004.8632202148438,-0.0029190166827175465,0.4847366739839862
2024-03-07,1491.9325571368477,1492.056638756749,1464.7091224345347,1468.059326171875,8315726,1466.6397399902344,1397.4563012695312,1290.2669067382812,1243.0605041503907,55.917667522059006,23.656899157886073,27.372438193751233,6.534347569640353,1498.1556655680013,1466.6397399902344,1435.1238144124675,1496.3250732421875,1004.8632202148438,-0.018890111230353987,0.46095438328213273
2024-03-11,1478.060279979328,1478.060279979328,1452.747629113329,1455.8248291015625,11277130,1466.9300964355468,1400.89435546875,1293.1644616699218,1244.7659191894531,52.35202227175059,20.57912563253285,26.01377568150756,35.612092077107874,1497.9309086132816,1466.9300964355468,1435.929284257812,1496.3250732421875,1004.8632202148438,-0.027066474300848554,0.4487790973086878
2024-03-12,1455.8247263461558,1477.0675227494196,1454.261346490045,1464.5849609375,9432678,1468.075372314453,1404.3219873046876,1296.1501123046876,1246.4853479003907,54.58506477000129,18.632058593797865,24.53743226396562,-16.355686242864987,1496.8744098725067,1468.075372314453,1439.2763347563994,1496.3250732421875,1004.8632202148438,-0.02121204334023093,0.4574968328767829
2024-03-13,1468.9029635812572,1472.2034859914554,1417.2850129833478,1421.6527099609375,13522134,1466.4412231445312,1407.095458984375,1298.732498779297,1247.9911431884766,43.76085870433797,13.469452618381638,22.323836334848824,43.35413548517187,1501.2544354449199,1466.4412231445312,1431.6280108441426,1496.3250732421875,1004.8632202148438,-0.04990383748596313,0.41477236041834875
2024-03-14,1429.1223094125826,1437.8825438227764,1415.0266869213976,1420.957763671875,18571102,1463.96455078125,1409.8024194335937,1301.2523474121094,1249.5261029052735,43.6101072051182,9.21574051067023,19.702217170013103,37.33854434514552,1503.9382003968062,1463.96455078125,1423.9909011656937,1496.3250732421875,1004.8632202148438,-0.05036827285598384,0.41408077744956034
2024-03-15,1415.4733954219128,1422.694969713975,1402.5193474045138,1407.80517578125,19223818,1461.3650390625,1412.0334057617188,1303.795771484375,1250.9959838867187,40.74897978065642,4.728828110097993,16.707539358030083,3.5146864197935113,1508.2495946458846,1461.3650390625,1414.4804834791155,1496.3250732421875,1004.8632202148438,-0.059158199674577076,0.4009918439250425
2024-03-18,1409.56727675182,1431.1326391984185,1406.1178317705178,1428.899169921875,9169392,1460.3177978515625,1414.9681860351564,1306.63873046875,1252.4194354248048,46.77958119839153,2.8422629059380142,13.93448406761167,-52.30192046137765,1509.0828912302159,1460.3177978515625,1411.5527044729092,1496.3250732421875,1004.8632202148438,-0.045060999461979404,0.4219837498046457
2024-03-19,1418.252849649116,1427.0378036957163,1406.8373411480031,1414.778564453125,8275764,1457.8982055664062,1417.488037109375,1309.3754736328126,1253.7401013183594,43.58179730604874,0.20536422818076971,11.188660099725492,-9.745771584419117,1510.5076486468506,1457.8982055664062,1405.2887624859618,1496.3250732421875,1004.8632202148438,-0.05449785627956513,0.4079314836009619
2024-03-20,1417.4587350761735,1434.3835163859578,1413.562644941621,1433.1427001953125,8488806,1456.5444763183593,1420.2654809570313,1312.4740393066406,1255.1540716552734,48.51133582489717,-0.3979770610349078,8.871332667573414,2.5742880053128525,1510.2279426085802,1456.5444763183593,1402.8610100281385,1496.3250732421875,1004.8632202148438,-0.04222503129615648,0.42620674273350445
2024-03-21,1441.8532357214951,1447.1887452733042,1434.060934378195,1440.3145751953125,13006936,1455.7143676757812,1423.3883642578126,1315.670382080078,1256.7181396484375,50.336375580267514,-0.29402961456821686,7.038260211145088,53.22456420844108,1509.8605813231281,1455.7143676757812,1401.5681540284343,1496.3250732421875,1004.8632202148438,-0.03743203869832463,0.4333439081264886
2024-03-22,1439.321893152815,1449.2732629085035,1436.716179238339,1444.3348388671875,19527608,1454.3879333496093,1426.6596533203126,1319.0630212402343,1258.3174877929687,51.376800502829575,0.11146625166861668,5.652901419249794,50.132267891531114,1508.2838894088984,1454.3879333496093,1400.4919772903202,1496.3250732421875,1004.8632202148438,-0.03474528049065521,0.4373447149935321
2024-03-26,1434.3835274360674,1441.7291835759677,1428.4276096750873,1430.983642578125,11415906,1451.8045532226563,1428.9730297851563,1322.1270922851563,1259.8684539794922,47.79573851103298,-0.6371605229337547,4.394889030813085,-41.53966015704535,1504.9822541405451,1451.8045532226563,1398.6268523047675,1496.3250732421875,1004.8632202148438,-0.04366793809214388,0.4240581342724187
2024-03-27,1437.3613782559069,1488.979328303771,1436.368725370371,1481.8818359375,16326644,1452.0787719726563,1431.612490234375,1325.4683618164063,1261.6235821533203,59.41081314506198,2.843824357802987,4.084676096211066,43.01662960434327,1505.8145464283073,1452.0787719726563,1398.3429975170054,1496.3250732421875,1004.8632202148438,-0.009652472957224711,0.47470999647162704
2024-03-28,1481.90676076149,1494.8856495085238,1467.786296896486,1474.933349609375,21854364,1452.0886962890625,1433.8980737304687,1328.8622424316407,1263.339174194336,57.529004619961334,4.984388254053783,4.26461852777961,33.8570498627887,1505.8412749387817,1452.0886962890625,1398.3361176393432,1496.3250732421875,1004.8632202148438,-0.014296174016827522,0.4677951386199889
2024-04-01,1481.5095896793896,1482.99856900626,1471.60790139039,1473.8662109375,5013880,1453.5354858398437,1435.69775390625,1332.19830078125,1265.0065197753906,57.229196824754894,6.519538213142596,4.715602464852207,-77.05776292551914,1507.9925400772888,1453.5354858398437,1399.0784316023985,1496.3250732421875,1005.7989501953124,-0.015009347037154421,0.4653686113425505
2024-04-02,1473.0968689675983,1483.0233977342266,1464.1629930776332,1476.025146484375,8910166,1454.8333679199218,1437.9277465820312,1335.4427856445313,1266.6812365722656,57.70937636576919,7.820217076987092,5.336525387279185,77.70999704819421,1510.128795881395,1454.8333679199218,1399.5379399584485,1496.3250732421875,1005.7989501953124,-0.013566521821242555,0.46751509951143927
2024-04-03,1471.186101560143,1473.5436523631188,1458.1079713887636,1460.7880859375,7008292,1453.8146606445312,1440.112080078125,1338.537381591797,1268.3201678466796,53.172186384691756,7.5346561765220486,5.776151545127758,-21.344989532181557,1507.8691074349367,1453.8146606445312,1399.7602138541256,1496.3250732421875,1005.7989501953124,-0.023749510009671317,0.45236588848480597
