Date,Cash,Invested,Total,Positions,Peak,Drawdown,Daily_Return
2022-08-23,879.7362861633301,583526.8022460938,584406.5385322571,7,585785.4661445618,-0.0023539805816288244,-0.002353980581628834
2022-08-24,18861.66157913208,434547.84118652344,453409.5027656555,7,585785.4661445618,-0.22598027952137367,-0.22415395299238428
2022-08-25,15924.793537139893,528445.7219238281,544370.515460968,6,585785.4661445618,-0.0706998604048214,0.20061558511782152
2022-08-26,15924.793537139893,580737.7934570312,596662.5869941711,6,596662.5869941711,0.0,0.09605970574824885
2022-08-29,15924.793537139893,580314.8422851562,596239.6358222961,6,596662.5869941711,-0.0007088615594380009,-0.0007088615594379455
2022-08-30,15924.793537139893,589471.1315917969,605395.9251289368,6,605395.9251289368,0.0,0.015356726987820757
2022-09-01,27798.190021514893,484434.84912109375,512233.03914260864,6,605395.9251289368,-0.1538875339580232,-0.15388753395802324
2022-09-02,27798.190021514893,583765.7243652344,611563.9143867493,6,611563.9143867493,0.0,0.19391735334058824
2022-09-05,27798.190021514893,579628.3093261719,607426.4993476868,6,611563.9143867493,-0.006765302761872938,-0.006765302761872927
2022-09-06,34649.38606643677,433853.9560546875,468503.34212112427,6,611563.9143867493,-0.23392579074761166,-0.22870776526172565
2022-09-07,1514.1197090148926,426586.4208984375,428100.5406074524,7,611563.9143867493,-0.29999051524036746,-0.08623802197600194
2022-09-08,1514.1197090148926,615282.8442382812,616796.9639472961,7,616796.9639472961,0.0,0.4407759520043897
2022-09-09,1514.1197090148926,613955.205078125,615469.3247871399,7,616796.9639472961,-0.0021524735654660154,-0.0021524735654659954
2022-09-12,1514.1197090148926,619479.6086425781,620993.728351593,7,620993.728351593,0.0,0.008975920231871326
2022-09-13,25619.343830108643,466265.1337890625,491884.47761917114,7,620993.728351593,-0.20790749541889583,-0.20790749541889586
2022-09-14,42636.51912307739,545761.865234375,588398.3843574524,6,620993.728351593,-0.05248900674192616,0.19621254812802746
2022-09-15,18452.699787139893,434381.2060546875,452833.9058418274,8,620993.728351593,-0.2707914989031213,-0.23039573547379
2022-09-16,257141.8570137024,362948.6103515625,620090.4673652649,6,620993.728351593,-0.001454541237841163,0.36935520809225664
2022-09-19,41764.58079147339,335672.0104980469,377436.59128952026,7,620993.728351593,-0.3922054699466724,-0.39132011996051075
2022-09-20,7028.393291473389,592832.589302063,599860.9825935364,8,620993.728351593,-0.034030530089495116,0.5893026707985529
2022-09-21,15928.449932098389,514787.2864303589,530715.7363624573,7,620993.728351593,-0.1453766565868155,-0.11526878433087162
2022-09-22,12053.064189910889,558140.7768554688,570193.8410453796,6,620993.728351593,-0.08180418736443598,0.07438653497163394
2022-09-23,22170.82346725464,504713.6248550415,526884.4483222961,6,620993.728351593,-0.151546264853764,-0.07595556038220463
2022-09-26,15216.245571136475,281957.892578125,297174.1381492615,7,620993.728351593,-0.5214538817676948,-0.4359785355299014
2022-09-27,15216.245571136475,571313.8031463623,586530.0487174988,7,620993.728351593,-0.05549762913963224,0.9736914267516197
2022-09-28,25551.190395355225,519401.27529907227,544952.4656944275,7,620993.728351593,-0.12245093498611412,-0.070887387805594
2022-09-29,207330.36227035522,371914.0369567871,579244.3992271423,5,620993.728351593,-0.06722987240994023,0.06292646733695739
2022-09-30,24836.624965667725,378493.1598815918,403329.7848472595,7,620993.728351593,-0.3505090849824122,-0.30369670317848063
2022-10-03,253316.0309715271,308392.0444946289,561708.075466156,4,620993.728351593,-0.09546900424068498,0.392676902547314
2022-10-04,20954.439113616943,312251.8498535156,333206.28896713257,8,620993.728351593,-0.4634305086274905,-0.40679811539008415
2022-10-06,20954.439113616943,557173.9046783447,578128.3437919617,8,620993.728351593,-0.06902708127731993,0.735046314954122
2022-10-07,20954.439113616943,561919.4302215576,582873.8693351746,8,620993.728351593,-0.061385256043738706,0.008208429138911955
2022-10-10,20954.439113616943,554331.2498016357,575285.6889152527,8,620993.728351593,-0.07360467159253087,-0.013018563396188898
2022-10-11,20954.439113616943,548273.2498321533,569227.6889457703,8,620993.728351593,-0.08336000355951093,-0.010530420078596503
2022-10-12,20954.439113616943,548775.2138977051,569729.653011322,8,620993.728351593,-0.08255167967050128,0.000881833535683052
2022-10-13,18747.84885787964,449921.8547363281,468669.70359420776,6,620993.728351593,-0.24529076189178955,-0.17738228804303768
2022-10-14,16813.491863250732,495167.4362792969,511980.9281425476,5,620993.728351593,-0.1755457345735459,0.09241310930957969
2022-10-17,16813.491863250732,545742.1501464844,562555.6420097351,5,620993.728351593,-0.09410414900160079,0.0987824176394052
2022-10-18,16813.491863250732,545804.7824707031,562618.2743339539,5,620993.728351593,-0.09400329077814495,0.00011133534097185205
2022-10-19,16813.491863250732,549139.8515625,565953.3434257507,5,620993.728351593,-0.08863275491033563,0.005927765314315492
2022-10-20,16813.491863250732,548516.5063476562,565329.998210907,5,620993.728351593,-0.08963654156128684,-0.0011014074253375972
2022-10-21,16813.491863250732,543320.8391113281,560134.3309745789,5,620993.728351593,-0.09800323996598707,-0.009190503339236877
2022-10-24,16813.491863250732,542825.7229003906,559639.2147636414,5,620993.728351593,-0.09880053660254372,-0.0008839240581380858
2022-10-25,16813.491863250732,543564.2353515625,560377.7272148132,5,620993.728351593,-0.09761129359177736,0.001319622413314514
2022-10-27,16813.491863250732,550505.3820800781,567318.8739433289,5,620993.728351593,-0.08643381077413174,0.012386549984801265
2022-10-28,8165.041606903076,407145.9528808594,415310.99448776245,6,620993.728351593,-0.33121547686126956,-0.26794081148576576
2022-10-31,8165.041606903076,565460.2424316406,573625.2840385437,6,620993.728351593,-0.07627845846170984,0.3811945545675799
2022-11-01,22285.621074676514,370380.43670654297,392666.0577812195,7,620993.728351593,-0.36768112163783306,-0.31546591702391735
2022-11-02,37227.221172332764,361211.8109436035,398439.0321159363,7,620993.728351593,-0.3583847727841321,0.01470199478747225
2022-11-03,200461.7184867859,394453.2307434082,594914.9492301941,5,620993.728351593,-0.04199523752135818,0.493114131090169
2022-11-04,303817.6921195984,302883.84677124023,606701.5388908386,4,620993.728351593,-0.023015030278474038,0.019812226396220378
2022-11-07,22662.594341278076,303376.43359375,326039.0279350281,7,620993.728351593,-0.47497210833274,-0.46260392131016015
2022-11-09,22662.594341278076,585896.5142822266,608559.1086235046,7,620993.728351593,-0.020023744460504714,0.8665222764213865
2022-11-10,2646.5341606140137,375845.51318359375,378492.04734420776,6,620993.728351593,-0.3905058456082927,-0.3780521201953313
2022-11-11,2646.5341606140137,608415.2482910156,611061.7824516296,6,620993.728351593,-0.015993633182620693,0.614463993997524
2022-11-14,8514.041728973389,467050.2062988281,475564.2480278015,6,620993.728351593,-0.23418832378521628,-0.22174113700942155
2022-11-15,8514.041728973389,604875.0439453125,613389.0856742859,6,620993.728351593,-0.012245925087671009,0.28981328646561155
2022-11-16,5877.810832977295,499946.9794921875,505824.7903251648,5,620993.728351593,-0.18545910009774222,-0.17536062812542208
2022-11-17,5877.810832977295,601596.0056762695,607473.8165092468,5,620993.728351593,-0.021771414468603964,0.20095698773232895
2022-11-18,5877.810832977295,602686.8993530273,608564.7101860046,5,620993.728351593,-0.020014724139937434,0.0017957871551179672
2022-11-21,5877.810832977295,598717.9914550781,604595.8022880554,5,620993.728351593,-0.026405944721962556,-0.006521751642049933
2022-11-22,5877.810832977295,601383.2156982422,607261.0265312195,5,620993.728351593,-0.02211407489867334,0.004408274475405927
2022-11-23,5877.810832977295,598600.2534790039,604478.0643119812,5,620993.728351593,-0.026595540801115803,-0.0045828105174722245
2022-11-24,5877.810832977295,601438.841796875,607316.6526298523,5,620993.728351593,-0.0220244989559654,0.0046959327152789054
2022-11-25,5877.810832977295,603161.8674926758,609039.6783256531,5,620993.728351593,-0.019249872390292196,0.0028371125480251003
2022-11-28,5877.810832977295,603316.5909423828,609194.4017753601,5,620993.728351593,-0.019000717781085853,0.0002540449419197177
2022-11-29,5877.810832977295,599653.5395507812,605531.3503837585,5,620993.728351593,-0.024899410834436017,-0.006012943291872741
2022-11-30,5877.810832977295,604286.4589233398,610164.2697563171,5,620993.728351593,-0.01743891781970538,0.007650998366347972
2022-12-01,5877.810832977295,607710.7665405273,613588.5773735046,5,620993.728351593,-0.011924679171471029,0.005612107733799387
2022-12-02,14498.481853485107,449727.5050048828,464225.9868583679,5,620993.728351593,-0.25244657769629947,-0.24342465949169145
2022-12-05,14498.481853485107,598882.6044921875,613381.0863456726,5,620993.728351593,-0.01225880658429178,0.3212984703779862
2022-12-06,14498.481853485107,602348.8724365234,616847.3542900085,5,620993.728351593,-0.006676998288840828,0.005651083839227633
2022-12-07,14498.481853485107,600548.7458496094,615047.2277030945,5,620993.728351593,-0.009575782132749264,-0.0029182691218413437
2022-12-08,14498.481853485107,604744.822265625,619243.3041191101,5,620993.728351593,-0.002818747038121226,0.006822364571393846
2022-12-09,14498.481853485107,603056.2808837891,617554.7627372742,5,620993.728351593,-0.005537842746733476,-0.002726781816781876
2022-12-12,14498.481853485107,603796.0532226562,618294.5350761414,5,620993.728351593,-0.004346570910815119,0.0011979056490281081
2022-12-13,11091.011638641357,489987.3610839844,501078.37272262573,6,620993.728351593,-0.193102361834279,-0.18957981302403193
2022-12-14,11091.011638641357,614568.1520996094,625659.1637382507,6,625659.1637382507,0.0,0.24862536041759542
2022-12-15,11091.011638641357,606588.01171875,617679.0233573914,6,625659.1637382507,-0.012754772635597371,-0.012754772635597322
2022-12-16,11726.843425750732,458185.8956298828,469912.73905563354,6,625659.1637382507,-0.24893174064941034,-0.2392282702083275
2022-12-19,11726.843425750732,606411.7565917969,618138.6000175476,6,625659.1637382507,-0.012020224679150404,0.31543273600072674
2022-12-20,11726.843425750732,606264.9584960938,617991.8019218445,6,625659.1637382507,-0.012254854177463864,-0.00023748411068158504
2022-12-21,11726.843425750732,590169.3016357422,601896.1450614929,6,625659.1637382507,-0.03798077300550696,-0.026045097702424136
2022-12-22,11726.843425750732,587480.2260742188,599207.0694999695,6,625659.1637382507,-0.0422787609794327,-0.004467673673584804
2022-12-23,25742.847423553467,115620.10546875,141362.95289230347,10,625659.1637382507,-0.7740575682650055,-0.7640833026047756
2022-12-26,25742.847423553467,551293.2153625488,577036.0627861023,10,625659.1637382507,-0.07771499846918295,3.081946867831163
2022-12-27,78974.31489181519,501073.38232421875,580047.6972160339,9,625659.1637382507,-0.0729014600372715,0.005219144216724647
2022-12-28,78974.31489181519,501325.6594238281,580299.9743156433,9,625659.1637382507,-0.07249824193669732,0.0004349247498440789
2022-12-29,38204.151317596436,398575.8918457031,436780.04316329956,7,625659.1637382507,-0.30188820290973983,-0.2473202438473292
2022-12-30,133277.27729415894,447283.8620605469,580561.1393547058,6,625659.1637382507,-0.07208081811523186,0.3291842162707297
2023-01-02,177393.09760665894,403012.10107421875,580405.1986808777,5,625659.1637382507,-0.07233006032707193,-0.00026860336191547596
2023-01-03,30125.19160079956,404489.6086425781,434614.8002433777,6,625659.1637382507,-0.3053489416720154,-0.25118727187290313
2023-01-04,30125.19160079956,549587.1485595703,579712.3401603699,6,625659.1637382507,-0.07343746602120106,0.3338531956015758
2023-01-05,30125.19160079956,553617.8474121094,583743.0390129089,6,625659.1637382507,-0.0669951423310052,0.006952929191440083
2023-01-06,30125.19160079956,550929.7252807617,581054.9168815613,6,625659.1637382507,-0.07129160642382916,-0.004604975051853644
2023-01-09,30125.19160079956,556147.4484863281,586272.6400871277,6,625659.1637382507,-0.06295204471359857,0.008979741938282215
2023-01-10,30391.98701095581,494994.2658691406,525386.2528800964,6,625659.1637382507,-0.1602676291977148,-0.10385336623926833
2023-01-11,30391.98701095581,542751.26953125,573143.2565422058,6,625659.1637382507,-0.0839369264285488,0.09089884518354241
2023-01-12,30391.98701095581,541292.4777832031,571684.4647941589,6,625659.1637382507,-0.08626853416738658,-0.002545248035975889
2023-01-13,30391.98701095581,544622.9033203125,575014.8903312683,6,625659.1637382507,-0.08094546734421337,0.005825635892184877
2023-01-16,30391.98701095581,537384.4709472656,567776.4579582214,6,625659.1637382507,-0.0925147574506636,-0.01258825205183256
2023-01-17,30391.98701095581,534434.3532714844,564826.3402824402,6,625659.1637382507,-0.09722997277357935,-0.005195914051086548
2023-01-18,26808.39081954956,490271.16748046875,517079.5583000183,5,625659.1637382507,-0.17354433808574013,-0.08453356116243838
2023-01-19,16341.203075408936,400941.1281738281,417282.33124923706,6,625659.1637382507,-0.33305167504297867,-0.19300168697227282
2023-01-20,16341.203075408936,543063.2700195312,559404.4730949402,6,625659.1637382507,-0.10589582073320147,0.3405898865169432
2023-01-23,16341.203075408936,542543.4409179688,558884.6439933777,6,625659.1637382507,-0.10672667102948191,-0.0009292544599911468
2023-01-24,16341.203075408936,542217.6235351562,558558.8266105652,6,625659.1637382507,-0.10724742961769754,-0.0005829778762294069
2023-01-25,146876.67573165894,394860.0959472656,541736.7716789246,5,625659.1637382507,-0.13413436088412467,-0.030116890343887093
2023-01-27,268517.5932121277,262759.0810546875,531276.6742668152,2,625659.1637382507,-0.15085288435241584,-0.01930845007934745
2023-01-30,268517.5932121277,262041.07983398438,530558.6730461121,2,625659.1637382507,-0.15200047598427677,-0.0013514638520391031
2023-01-31,24374.20215988159,262308.2373046875,286682.4394645691,7,625659.1637382507,-0.5417913520970903,-0.4596593100276153
2023-02-01,33563.51343917847,457248.6278991699,490812.1413383484,6,625659.1637382507,-0.2155279267296349,0.712041177879706
2023-02-02,30109.167736053467,459164.25033569336,489273.4180717468,5,625659.1637382507,-0.21798729015909038,-0.0031350554254948593
2023-02-03,30109.167736053467,509685.113861084,539794.2815971375,5,625659.1637382507,-0.1372390705956886,0.1032569145581137
2023-02-06,30109.167736053467,517756.70697021484,547865.8747062683,5,625659.1637382507,-0.12433812775501493,0.014953091176232336
2023-02-07,30109.167736053467,520690.4163208008,550799.5840568542,5,625659.1637382507,-0.11964913809320399,0.0053547948248442445
2023-02-08,37308.60645675659,370739.2874145508,408047.8938713074,7,625659.1637382507,-0.3478112085288384,-0.25917174652552366
2023-02-09,37308.60645675659,517479.38397216797,554787.9904289246,7,625659.1637382507,-0.11327441108011273,0.3596148853151464
2023-02-10,37308.60645675659,517500.84631347656,554809.4527702332,7,625659.1637382507,-0.11324010751268736,3.8685663134030435e-05
2023-02-13,37308.60645675659,517170.71173095703,554479.3181877136,7,625659.1637382507,-0.11376776634301122,-0.0005950413801911747
2023-02-14,90333.69288253784,465235.7921447754,555569.4850273132,6,625659.1637382507,-0.11202533707355727,0.0019661091114502316
2023-02-15,90333.69288253784,468159.9192504883,558493.6121330261,6,625659.1637382507,-0.10735166285093177,0.005263296823383223
2023-02-16,144477.91651535034,415947.2137451172,560425.1302604675,5,625659.1637382507,-0.10426448977110221,0.0034584426490831266
2023-02-17,144477.91651535034,412982.5202636719,557460.4367790222,5,625659.1637382507,-0.10900300181291674,-0.005290079479604026
2023-02-20,1012.3237419128418,409325.78829956055,410338.1120414734,6,625659.1637382507,-0.3441507200346202,-0.2639152754724875
2023-02-21,27918.59717941284,436301.67880249023,464220.2759819031,6,625659.1637382507,-0.2580300858885635,0.13131162414419784
2023-02-22,27918.59717941284,523797.65045166016,551716.247631073,6,625659.1637382507,-0.1181840215771415,0.18847942706531162
2023-02-23,27918.59717941284,522561.56201171875,550480.1591911316,6,625659.1637382507,-0.12015967942982267,-0.002240442338337645
2023-02-24,27918.59717941284,522529.0827636719,550447.6799430847,6,625659.1637382507,-0.12021159147703511,-5.90016688242212e-05
2023-02-27,27918.59717941284,517704.0014953613,545622.5986747742,6,625659.1637382507,-0.12792358795684558,-0.008765740040560188
2023-02-28,28698.32130050659,378674.1560974121,407372.4773979187,6,625659.1637382507,-0.34889073634931034,-0.25338048976094807
